[10:46:41][138088399241728[INFO][asynclogger][DataManager.hpp:52]	DataManager construct start
[10:46:41][138088399241728[INFO][asynclogger][Config.hpp:38]	ReadConfig start
[10:46:41][138088399241728[INFO][asynclogger][Config.hpp:31]	ReadConfig complicate
[10:46:41][138088399241728[INFO][asynclogger][DataManager.hpp:67]	init datamanager
[10:46:41][138088399241728[INFO][asynclogger][DataManager.hpp:58]	DataManager construct end
[10:46:41][138088210572864[DEBUG][asynclogger][Service.hpp:30]	Service start(Construct)
[10:46:41][138088210572864[DEBUG][asynclogger][Service.hpp:36]	Service end(Construct)
[10:46:41][138088210572864[INFO][asynclogger][Test.cpp:17]	service step in RunModule
[10:46:41][138088210572864[DEBUG][asynclogger][Service.hpp:68]	event_base_dispatch
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:92]	get req, uri: /download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:545]	request resource_path:/download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:551]	uncompressing:
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:131]	,file open error
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:203]	filename:, uncompress get file content failed!
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:559]	request download_path:./low_storage/
[10:47:04][138088210572864[ERROR][asynclogger][Service.hpp:659]	evbuffer_add_file: 9 -- ./low_storage/ -- Is a directory
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:668]	evhttp_send_reply: HTTP_OK
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:92]	get req, uri: /download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:545]	request resource_path:/download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:551]	uncompressing:
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:131]	,file open error
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:203]	filename:, uncompress get file content failed!
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:559]	request download_path:./low_storage/
[10:47:04][138088210572864[ERROR][asynclogger][Service.hpp:659]	evbuffer_add_file: 10 -- ./low_storage/ -- Is a directory
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:668]	evhttp_send_reply: HTTP_OK
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:92]	get req, uri: /download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:545]	request resource_path:/download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:551]	uncompressing:
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:131]	,file open error
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:203]	filename:, uncompress get file content failed!
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:559]	request download_path:./low_storage/
[10:47:04][138088210572864[ERROR][asynclogger][Service.hpp:659]	evbuffer_add_file: 11 -- ./low_storage/ -- Is a directory
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:668]	evhttp_send_reply: HTTP_OK
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:92]	get req, uri: /download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:545]	request resource_path:/download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:551]	uncompressing:
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:131]	,file open error
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:203]	filename:, uncompress get file content failed!
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:559]	request download_path:./low_storage/
[10:47:04][138088210572864[ERROR][asynclogger][Service.hpp:659]	evbuffer_add_file: 12 -- ./low_storage/ -- Is a directory
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:668]	evhttp_send_reply: HTTP_OK
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:92]	get req, uri: /download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:545]	request resource_path:/download/bigfile.dat
[10:47:04][138088210572864[INFO][asynclogger][Service.hpp:551]	uncompressing:
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:76]	, Get file size failed: No such file or directory
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:131]	,file open error
[10:47:04][138088210572864[INFO][asynclogger][Util.hpp:203]	filename:, uncompress get file content failed!
